question,answer,category
How do you express: I didn't need (something).,Je n'AVAIS pas besoin quelque chose.; Use AVOIR BESOIN in the imparfait tense because telling a story.; There is no second infinitive verb when you use avoir besoin.,verbs
How do you express: I want you (to do something). + I wanted you (to do something).,This triggers subjonctif because it expresses a desire that may or may not reflect reality: Je veux QUE tu fasses quelque chose. + Je voulais QUE tu fasses quelque chose.; Remember that VOUDRAIS is the same verb. Any time you say: Je voudrais que... followed by a phrase - then that phrase must be in subjonctif.,verbs
idiomatic way to express: I have to do it.; Specify pronunciation.,Il faut que je fasse ça. It is pronounced very quickly and squished together: 'foh-tkuh-shfahs',verbs
idiomatic way to express: I don't have to do it.,Je n'ai pas À faire ça.; Less idiomatic option: Je ne dois faire pas ça.,conversation
I will be able to. (indicatif futur simple) / I could. (conditionnel présent),Je pourrai. / Je pourrais.; Pronounced exactly the same ('pour-ray') because je/tu/il/elle/on/ils/elles in conditionnel présent sound exactly the same as je in futur simple - though spelled differently.; Remember 'ai' sounds like 'ay' in french - like j'ai.,verbs
I will eat. (indicatif futur simple) / They would eat. (conditionnel présent),Je mangerai. / Ils mangeraient.; Pronounced exactly the same ('man-jer-ray') because je/tu/il/elle/on/ils/elles in conditionnel présent sound exactly the same as je in futur simple - though spelled differently.; -ent is always silent on verbs,verbs
I will have more time. (indicatif futur simple) / I will know how to do it. (indicatif futur simple),J'aurai plus DE temps. / Je saurai comment faire.; NB: AVOIR and SAVOIR are usually conjugated in the same way - just add an S to the front for the SAVOIR version.,verbs
Elle has been working longer than me.,Elle travaille depuis plus longtemps que moi.,vocabulary
We didn't have enough time.,On n'a pas eu assez DE temps.; Even though temps is an exception when negated... (e.g. Je n'ai pas LE temps. = I do not have time.)... There is no exception when expressing equivalence.,verbs
It took too long.,Ça a pris trop DE temps.; Use DE (instead of LE temps). The only time that le temps over-rides the generic DE is when it is negated with PAS (pas le temps).,vocabulary
It took 30 minutes.,Ça a pris 30 minutes.,verbs
I quit. / I will quit. / I would quit.,J'ai quitté. / Je quitterai. / Je quitterais.; QUITTER is the infinitive. It also means 'to leave'.,verbs
Using the verb ÉCOUTER... You would listen. / He would listen. (both conditionnel présent),Tu écouterais. / Il écouterait.; ('ay-coo-tuh-ray') Both sound exactly the same as Je version in futur simple (j'écouterai) - though they are spelled differently.,verbs
Using the verb CHANTER... They would sing. / You (formal/plural) would sing. (both conditionnel présent),Ils chanteraient. ('shon-tu-ray') / Vous chanteriez. ('shon-tu-ree-ay'); The ils version sounds exactly the same as the je version in futur simple (je chanterai) BUT the vous version sounds different because nous and vous versions do not follow the rule that je/tu/il/elle/on/ils/elles follow.,verbs
Using the verb VOIR... She would watch. / We (nous) would watch. (both conditionnel présent),Elle verrait. / Nous verrions.; VOIR is irregular in futur simple - we use the radical 'verr'.; Note that the pronunciation rule still holds: Elle verrait (She would watch) sounds the same as Je verrai (I will watch). BUT Nous verrions (We would watch) does not sound the same as Je verrai (I will watch) because nous and vous never follow the pronunciation rule.,verbs
You (familiar) would go. / You (formal/plural) would go. (both futur conditionnel présent),Tu irais. / Vous iriez.; ALLER is irregular in futur simple - we use the radical 'ir'.; The pronunciation similarities still hold. Tu irais (You would go) sounds the same as J'irai (I will go). Vous form sounds different - always does.,verbs
What is the 'conditionnel passé' verb tense?,The conditionnel mood (a hypothesis) in the past tense. It is used to express: a regret/remorse + a rapproche (scolding someone) + uncertainty (journalists use it to report unconfirmed information).; To compare: conditionnel présent (a hypothetical action) is should do/ could do / would do. Conditionnel passé is the same but in the past: should have done / could have done / would have done.; For example: I would have returned the book (IF I had had time). The first phrase is conditionnel passé. The second phrase could be said or omitted.,verbs
How do you construct the 'conditionnel passé' verb tense?,AVOIR/ÊTRE conjugated in conditionnel présent + past participle; e.g. I would have done something. = J'AURAIS FAIT quelque chose.; The past participle is the same as passé composé. The pairing with avoir/être is the same as passé composé.,verbs
I would receive. + I would have received.,Je reçevrais (conditionnel présent). + J'aurais reçu (conditionnel passé).,verbs
I would have written a letter.,J'aurais écrit une lettre.; This is hypothetical in the past so use conditionnel passé (AVOIR/ÊTRE conjugated in conditionnel présent + past participle).,verbs
They would have gone to the movies.,Ils seraient allés au cinéma.; This is hypothetical in the past so use conditionnel passé.,verbs
I would have liked to discuss it with the saleswoman.,J'aurais voulu/aimée (conditionnel passé) en discuter avec la vendeuse.,verbs
He would have become a doctor. + He would have liked to become a doctor.,Il serait devenu (conditionnel passé) un médecin. + Il aurait aimée (conditionnel passé) devenir (2nd verb) médecin.; Both sentences are conditionnel passé. In the first sentence the conjugated verb is devenir. In the second sentence the conjugated verb is aimer (so devenir remains as infinitive).,verbs
I could have seen the coral reef.,J'aurais pu voir le récif de corail.; Use conditionnel passé (AVOIR/ÊTRE conjugated in conditionnel présent + past participle) to describe what should or could or would have happened.,verbs
She could have gone to the movies.,Elle aurait pu (conditionnel passé) aller (infinitive) au cinéma.; This is special variation of conditionnel passé (could have): AVOIR/ÊTRE conjugated in conditionnel présent (aurait) + PAST PARTICIPLE (pu from pouvoir) + INFINITIVE,verbs
I should have taken care of my body.,J'aurais dû prendre soins de mon corps.; Use conditionnel passé (AVOIR/ÊTRE conjugated in conditionnel présent + past participle) to describe what should or could or would have happened.,verbs
I should have known it.,J'aurais dû (conditionnel passé) le savoir (infinitive).; This is special variation of conditionnel passé (should have): AVOIR/ÊTRE conjugated in conditionnel présent (aurait) + PAST PARTICIPLE (dû from devoir) + INFINITIVE,verbs
You should have listened to me.,Tu aurais dû m'écouter.; Use conditionnel passé (AVOIR/ÊTRE conjugated in conditionnel présent + past participle) to describe what should or could or would have happened.; When speaking tu + aurais contracts to t'aurais. But never contract it in writing.,verbs
We should have sang a song.,On aurait dû (conditionnel passé) chanter (infinitive) une chanson.; This is special variation of conditionnel passé (should have): AVOIR/ÊTRE conjugated in conditionnel présent (aurait) + PAST PARTICIPLE (dû from devoir) + INFINITIVE,verbs
She arrived yesterday (I think) but I'm not certain.,Unconfirmed information triggers conditionnel passé: Elle serait arrivée hier mais je ne suis pas sûr.,verbs
